ds_dir,code,description
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp245/r20i1p1f1/Amon/rsut/gr,noUse,the last ncfile: rsut_Amon_EC-Earth3_ssp245_r20i1p1f1_gr_210001-210012.nc is bad
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp245/r20i1p1f1/day/pr/gr,noUse,the last ncfile: pr_day_EC-Earth3_ssp245_r20i1p1f1_gr_21000101-21001231.nc is bad
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp245/r20i1p1f1/day/tasmax/gr,noUse,the last ncfile: tasmax_day_EC-Earth3_ssp245_r20i1p1f1_gr_21000101-21001231.nc is bad
all/EC-Earth-Consortium/EC-Earth3/ssp370/r9i1p1f1/Amon/tas/gr,noSizeCheck,incorrect expected size
all/EC-Earth-Consortium/EC-Earth3/ssp370/r6i1p1f1/Amon/tas/gr,noSizeCheck,incorrect expected size
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r9i1p1f1/Amon/tas/gr,noSizeCheck,incorrect expected size
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r6i1p1f1/Amon/tas/gr,noSizeCheck,incorrect expected size
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r15i1p1f1/Amon/tas/gr,noSizeCheck,incorrect expected size
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r9i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r9i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r9i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r112i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r112i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r112i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r112i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r112i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r112i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r113i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r113i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r113i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r113i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r113i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r113i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r113i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r113i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r113i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r114i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r114i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r114i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r114i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r114i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r114i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r114i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r114i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r114i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r115i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r115i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r115i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r115i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r115i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r115i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r115i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r115i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r115i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r141i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r116i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r116i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r116i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r116i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r116i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r116i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r116i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r116i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r116i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r116i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r116i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r116i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r117i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r117i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r117i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r117i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r117i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r117i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r117i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r117i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r117i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r117i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r117i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r117i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r118i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r118i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r118i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r118i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r118i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r118i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r118i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r118i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r118i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r118i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r118i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r118i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r119i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r119i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r119i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r119i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r119i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r119i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r119i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r119i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r119i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r119i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r119i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r119i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r120i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r120i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r120i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r120i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r120i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r120i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r120i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r120i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r120i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r120i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r120i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r120i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r120i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r120i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r120i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r120i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r120i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r120i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r120i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r120i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r120i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r120i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r120i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r120i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp585/r3i1p1f1/Amon/tas/gr,noUse,lons not all on same grid - staggered grid problem
ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r3i1p1f1/day/tas/gr,noUse,lons not all on same grid - staggered grid problem
ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp585/r3i1p1f1/day/tas/gr,noUse,lons not all on same grid - staggered grid problem
ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp585/r1i1p1f1/Omon/vmo/gn,noUse,?
CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/historical/r1i1p1f1/Omon/all/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/Omon/all/gn,noUse,conflicting values for variable 'vertices_longitude' 
PMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/past1000/r1i1p1f1/Omon/wo/gn,noUse,bad file wo_Omon_EC-Earth3-Veg-LR_past1000_r1i1p1f1_gn_116001-116012.nc
CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/Omon/umo/gn,noUse,conflicting values for variable 'vertices_longitude' 
CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/Omon/vmo/gn,noUse,conflicting values for variable 'vertices_longitude' 
CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/Omon/bigthetao/gn,noUse,conflicting values for variable 'vertices_longitude' 
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r121i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r121i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r121i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r121i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r121i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r121i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r121i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r121i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r121i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r121i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r121i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r121i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r122i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r122i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r122i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r122i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r122i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r122i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r122i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r122i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r122i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r122i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r122i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r122i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r123i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r123i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r123i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r123i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r123i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r123i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r123i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r123i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp585/r123i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r123i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r123i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp534-over/r123i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r124i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r124i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp119/r124i1p1f1/Omon/zos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r124i1p1f1/Omon/sos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp434/r124i1p1f1/Omon/tos/gn,noUse,conflicting values for variable 'vertices_longitude' on objects to be combined
