ds_dir,code,description
ScenarioMIP/NCAR/CESM2/ssp245/r1i1p1f1/day/hus/gn,noUse,non-contiquous data
ScenarioMIP/NCAR/CESM2/ssp245/r1i1p1f1/day/tasmax/gn,noUse,missing two chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp245/r1i1p1f1/day/tasmin/gn,noUse,missing two chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp245/r1i1p1f1/day/ua/gn,noUse,missing two chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp245/r1i1p1f1/day/va/gn,noUse,missing two chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp245/r1i1p1f1/day/wap/gn,noUse,missing two chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp245/r1i1p1f1/day/zg/gn,noUse,missing two chunks of data in the output
all/NCAR/CESM2/ssp370/r2i1p1f1/day/tasmax/gn,noUse,multiple time gaps
ScenarioMIP/NCAR/CESM2/ssp585/r1i1p1f1/day/hur/gn,noUse,missing three chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp585/r1i1p1f1/day/hus/gn,noUse,missing three chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp585/r1i1p1f1/day/tasmax/gn,noUse,missing three chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp585/r1i1p1f1/day/tasmin/gn,noUse,missing three chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp585/r1i1p1f1/day/ua/gn,noUse,missing chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp585/r1i1p1f1/day/va/gn,noUse,missing chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp585/r1i1p1f1/day/wap/gn,noUse,missing chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp585/r1i1p1f1/day/zg/gn,noUse,missing chunks of data in the output
ScenarioMIP/NCAR/CESM2/ssp585/r2i1p1f1/day/tasmax/gn,noUse,missing two chunks of data in the output
CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/day/wap/gn,noUse,no 19000101-19091231
CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Lmon/mrsos/gn,noUse,missing chunks of data
CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/day/prc/gn,noUse,prc_day_CESM2-WACCM_historical_r1i1p1f1_gn_18600101-18691231.nc not downloading correctly
CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/day/psl/gn,noUse,redundant nc file psl_day_CESM2-WACCM_historical_r1i1p1f1_gn_18500101-20150101.nc
CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/day/ua/gn,noUse,trouble with missing_value
CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/day/va/gn,noUse,trouble with missing_value
CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/day/wap/gn,noUse,trouble with missing_value
CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/day/zg/gn,noUse,trouble with missing_value
CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/phyn/gn,noUse,missing 020001-029912
CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/wo/gn,noUse,missing 020001-029912
CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/phyn/gr,noUse,missing time chunks
CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Oyr/bddtalk/gn,noUse,missing time chunks
CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Oyr/bddtdife/gn,noUse,trouble with grid
CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Oyr/bddtdip/gn,noUse,missing time chunks
all/NCAR/CESM2-WACCM/ssp370/r3i1p1f1/day/hfls/gn,noUse,trouble with grid
all/NCAR/CESM2-WACCM/ssp370/r3i1p1f1/day/tas/gn,noUse,missing time periods (20450101-20541231)
all/NCAR/CESM2-WACCM/ssp370/r3i1p1f1/day/pr/gn,noUse,missing time periods (20450101-20541231)
CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/day/all/gn,noUse,many nans in time grid - overlapping times - skipped times - A TRUE MESS
CMIP/NCAR/CESM2-WACCM-FV2/historical/r1i1p1f1/day/all/gn,noUse,many nans in time grid
CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Lmon/mrsos/gn,noUse,missing two early time periods - could remake with limited times
CMIP/NCAR/CESM2-WACCM-FV2/historical/r2i1p1f1/day/all/gn,noUse,many nans in time grid
CMIP/NCAR/CESM2-WACCM-FV2/historical/r3i1p1f1/day/all/gn,noUse,many nans in time grid
CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/rlutcs/gr,noUse,missing time chunks
CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r16i1p1f2/day/va/gr,noUse,open_mfdataset works - to_zarr doesn't
CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r21i1p1f2/Omon/obvfsq/gn,noUse,2 files missing
CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r22i1p1f2/Omon/wo/gn,noUse,missing files
CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r23i1p1f2/Omon/so/gn,noUse,missing 195001-197412
CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r23i1p1f2/Omon/thetao/gn,noUse,missing 195001-197412
CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Amon/all/all,360_day,trying again
CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Amon/all/all,drop_tb,trying again
CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Amon/evspsbl/gr,noUse,missing 40 years in middle of run
CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Omon/bigthetao/gn,noUse,missing chunk
ScenarioMIP/CNRM-CERFACS/CNRM-CM6-1-HR/ssp126/r1i1p1f2/Omon/uo/gn,noUse,HDF errpr
