experiment_id,experiment,activity_id,tier,min_number_yrs_per_sim,start_year,end_year
dcppC-amv-Trop-neg,Idealized climate impact of negative tropical AMV anomaly pattern,['DCPP'],2,10,,
dcppC-amv-Trop-pos,idealized positive tropical AMV anomaly pattern,['DCPP'],2,10,,
dcppC-amv-neg,Idealized climate impact of negative AMV anomaly pattern,['DCPP'],1,10,,
dcppC-amv-pos,Idealized climate impact of positive AMV anomaly pattern,['DCPP'],1,10,,
dcppC-atl-control,Idealized Atlantic control,['DCPP'],1,10,,
dcppC-atl-pacemaker,pacemaker Atlantic experiment,['DCPP'],3,65,"1910, 1920 or 1950",2014
dcppC-atl-spg,predictability of 1990s warming of Atlantic sub-polar gyre,['DCPP'],3,5,A year in the range 1992-1999,5 - 10 years after start year
dcppC-forecast-addAgung,2015 forecast with added Agung forcing,['DCPP'],3,5,2014,5 - 10 years after start year
dcppC-forecast-addElChichon,2015 forecast with added El Chichon forcing,['DCPP'],3,5,2014,5 - 10 years after start year
dcppC-forecast-addPinatubo,2015 forecast with added Pinatubo forcing,"['DCPP', 'VolMIP']",1,5,2014,5 - 10 years after start year
dcppC-hindcast-noAgung,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,['DCPP'],2,5,1962,5 - 10 years after start year
dcppC-hindcast-noElChichon,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,['DCPP'],2,5,1981,5 - 10 years after start year
dcppC-hindcast-noPinatubo,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,['DCPP'],1,5,1990,5 - 10 years after start year
dcppC-ipv-NexTrop-neg,idealized negative northern extratropical IPV anomaly pattern,['DCPP'],2,10,,
dcppC-ipv-NexTrop-pos,idealized positive northern extratropical IPV anomaly pattern,['DCPP'],2,10,,
dcppC-ipv-neg,idealized negative IPV anomaly pattern,['DCPP'],1,10,,
dcppC-ipv-pos,idealized positive IPV anomaly pattern,['DCPP'],1,10,,
dcppC-pac-control,idealized Pacific control,['DCPP'],1,10,,
dcppC-pac-pacemaker,pacemaker Pacific experiment,['DCPP'],3,65,"1910, 1920 or 1950",2014
deforest-globe,idealized transient global deforestation,['LUMIP'],1,81,,
