experiment_id,experiment,activity_id,tier,min_number_yrs_per_sim,start_year,end_year
piClim-spAer-histall,"transient effective radiative forcing with specified anthropogenic aerosol optical properties, all forcings",['RFMIP'],2,165,1850,2014
piControl,pre-industrial control,['CMIP'],1,500,,
piControl-cmip5,pre-industrial control (CMIP5-era [1850-2005] forcing),['CMIP'],2,500,,
piControl-spinup,pre-industrial control (spin-up),['CMIP'],2,100,,
piControl-spinup-cmip5,pre-industrial control (spin-up; CMIP5-era [1850-2005] forcing),['CMIP'],2,100,,
piControl-withism,preindustrial control with interactive ice sheet,['ISMIP6'],1,500,,
piSST,"experiment forced with pre-industrial SSTs, sea ice and atmospheric constituents",['CFMIP'],2,30,,
piSST-4xCO2,as piSST with radiation and vegetation seeing 4xCO2,['CFMIP'],2,30,,
piSST-4xCO2-rad,as piSST with radiation-only seeing 4xCO2,['CFMIP'],2,30,,
piSST-4xCO2-solar,preindustrial control SSTs with quadrupled CO2 and solar reduction,['GeoMIP'],2,10,,
piSST-pdSIC,Atmosphere time slice with pre-industrial SST and present day SIC,['PAMIP'],1,1,2000,2001
piSST-piSIC,Atmosphere time slice with pre-industrial SST and SIC,['PAMIP'],2,1,2000,2001
piSST-pxK,as piSST with uniform SST increase with magnitude based on abrupt-4xCO2 response,['CFMIP'],2,20,,
rad-irf,offline assessment of radiative transfer parmeterizations in clear skies,['RFMIP'],1,,,
rcp26-cmip5,future projection based on CMIP5-era RCP2.6 scenario (CMIP5-era [2006-2100] forcing),['ScenarioMIP'],3,95,2006,2100 or 2300
rcp45-cmip5,future projection based on CMIP5-era RCP4.5 scenario (CMIP5-era [2006-2100] forcing),['ScenarioMIP'],3,95,2006,2100 or 2300
rcp60-cmip5,future projection based on CMIP5-era RCP6.0 scenario (CMIP5-era [2006-2100] forcing),['ScenarioMIP'],3,95,2006,2100 or 2300
rcp85-cmip5,future projection based on CMIP5-era RCP8.5 scenario (CMIP5-era [2006-2100] forcing),['ScenarioMIP'],3,95,2006,2100 or 2300
spinup-1950,coupled spinup with fixed 1950s forcings from 1950 initial conditions (with ocean at rest) to provide initial condition for control-1950 and hist-1950,['HighResMIP'],2,30,,
ssp119,"low-end scenario reaching 1.9 W m-2, based on SSP1",['ScenarioMIP'],2,86,2015,2100
ssp126,update of RCP2.6 based on SSP1,['ScenarioMIP'],1,86,2015,2100 or 2300
ssp126-ssp370Lu,SSP1-2.6 with SSP3-7.0 land use,['LUMIP'],1,86,2015,2100
ssp245,update of RCP4.5 based on SSP2,['ScenarioMIP'],1,86,2015,2100
ssp245-GHG,well-mixed GHG-only SSP2-4.5 run,['DAMIP'],2,80,2021,2100
ssp245-aer,aerosol-only SSP2-4.5 run,['DAMIP'],3,80,2021,2100
ssp245-cov-GHG,"2-year Covid-19 emissions blip including well mixed GHG only, based upon ssp245",['DAMIP'],3,5,2020,2024 or 2050
ssp245-cov-aer,"2-year Covid-19 emissions blip including anthropogenic aerosols only, based upon ssp245",['DAMIP'],3,5,2020,2024 or 2050
ssp245-cov-fossil,"2-year Covid-19 emissions blip followed by increased emissions due to a fossil-fuel based recovery, based upon ssp245",['DAMIP'],3,31,2020,2050
ssp245-cov-modgreen,"2-year Covid-19 emissions blip followed by moderate-green stimulus recovery, based upon ssp245",['DAMIP'],3,31,2020,2050
ssp245-cov-strgreen,"2-year Covid-19 emissions blip followed by strong-green stimulus recovery, based upon ssp245",['DAMIP'],2,31,2020,2050
ssp245-covid,2-year Covid-19 emissions blip based upon ssp245,['DAMIP'],2,5,2020,2024 or 2050
ssp245-nat,natural-only SSP2-4.5 run,['DAMIP'],3,80,2021,2100
ssp245-stratO3,stratospheric ozone-only SSP2-4.5 (ssp245) run,['DAMIP'],2,80,2021,2100
ssp370,gap-filling scenario reaching 7.0 based on SSP3,"['ScenarioMIP', 'AerChemMIP']",1,86,2015,2100
ssp370-lowNTCF,"SSP3-7.0, with low NTCF emissions",['AerChemMIP'],1,86,2015,2100
ssp370-lowNTCFCH4,"SSP3-7.0, with low NTCF emissions and methane concentrations",['AerChemMIP'],3,86,2015,2100
ssp370-ssp126Lu,SSP3-7.0 with SSP1-2.6 land use,['LUMIP'],1,86,2015,2100
ssp370SST,"SSP3-7.0, with SSTs prescribed from ssp370",['AerChemMIP'],1,86,2015,2100
ssp370SST-lowAer,"SSP3-7.0, prescribed SSTs, with low aerosol emissions",['AerChemMIP'],2,86,2015,2100
ssp370SST-lowBC,"SSP3-7.0, prescribed SSTs, with low black carbon emissions",['AerChemMIP'],2,86,2015,2100
ssp370SST-lowCH4,"SSP3-7.0, prescribed SSTs, with low methane concentrations",['AerChemMIP'],1,86,2015,2100
ssp370SST-lowNTCF,"SSP3-7.0, prescribed SSTs, with low NTCF emissions",['AerChemMIP'],1,86,2015,2100
ssp370SST-lowNTCFCH4,"SSP3-7.0, prescribed SSTs, with low NTCF emissions and methane concentrations",['AerChemMIP'],3,86,2015,2100
ssp370SST-lowO3,"SSP3-7.0, prescribed SSTs, with low ozone precursor emissions",['AerChemMIP'],2,86,2015,2100
ssp370SST-ssp126Lu,"SSP3-7.0, prescribed SSTs, with SSP1-2.6 land use",['AerChemMIP'],1,86,2015,2100
ssp370pdSST,"SSP3-7.0, with SSTs prescribed as present day",['AerChemMIP'],2,86,2015,2100
ssp434,gap-filling scenario reaching 3.4 based on SSP4,['ScenarioMIP'],2,86,2015,2100
ssp460,update of RCP6.0 based on SSP4,['ScenarioMIP'],2,86,2015,2100
ssp534-over,overshoot of 3.4 W/m**2 branching from ssp585 in 2040,['ScenarioMIP'],2,61,2040,2100 or 2300
ssp534-over-bgc,biogeochemically-coupled version of the RCP3.4-overshoot based on SSP5,['C4MIP'],2,61,2040,2100 or 2300
ssp585,update of RCP8.5 based on SSP5,['ScenarioMIP'],1,86,2015,2100 or 2300
ssp585-bgc,biogeochemically-coupled version of the RCP8.5 based on SSP5,['C4MIP'],2,86,2015,2100 or 2300
ssp585-withism,ssp585 with interactive ice sheet,['ISMIP6'],2,86,2015,2100 or 2300
volc-cluster-21C,volcanic cluster experiment under 21st century SSP2-4.5 scenario,['VolMIP'],3,86,2015,2100
volc-cluster-ctrl,19th century volcanic cluster initialized from PiControl,['VolMIP'],2,50,,
volc-cluster-mill,19th century volcanic cluster initialized from past1000,['VolMIP'],3,69,1790,1858
volc-long-eq,idealized equatorial volcanic eruption emitting 56.2 Tg SO2,['VolMIP'],1,20,,
volc-long-hlN,idealized Northern Hemisphere high-latitude eruption emitting 28.1 Tg of SO2,['VolMIP'],2,20,,
volc-long-hlS,Idealized Southern Hemisphere high-latitude eruption emitting 28.1 Tg of SO2,['VolMIP'],3,20,,
volc-pinatubo-full,Pinatubo experiment,['VolMIP'],1,3,,
volc-pinatubo-slab,Pinatubo experiment with slab ocean,['VolMIP'],3,3,,
volc-pinatubo-strat,"Pinatubo experiment with partial radiative forcing, includes only stratospheric warming",['VolMIP'],1,3,,
volc-pinatubo-surf,"Pinatubo experiment with partial radiative forcing, solar radiation scattering only",['VolMIP'],1,3,,
yr2010CO2,concentration-driven fixed 2010 forcing,['CDRMIP'],3,106,2010,2115
