variable_id,long_name,units,table_id
cSoilAbove1m,Carbon Mass in Soil Pool Above 1m Depth,kg m-2,Emon
cSoilFast,Carbon Mass in Fast Soil Pool,kg m-2,Lmon
cSoilGrass,Carbon Mass in Soil on Grass Tiles,kg m-2,Emon
cSoilLevels,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level),kg m-2,Emon
cSoilLut,carbon  in soil pool on Land-use tiles,kg m-2,Eyr
cSoilMedium,Carbon Mass in Medium Soil Pool,kg m-2,Lmon
cSoilPools,Carbon Mass in Each Model Soil Pool (Summed over Vertical Levels),kg m-2,Emon
cSoilShrub,Carbon Mass in Soil on Shrub Tiles,kg m-2,Emon
cSoilSlow,Carbon Mass in Slow Soil Pool,kg m-2,Lmon
cSoilTree,Carbon Mass in Soil on Tree Tiles,kg m-2,Emon
cStem,Carbon Mass in Stem,kg m-2,Emon
cTotFireLut,"Total Carbon Loss from Natural and Managed Fire on Land-Use Tile, Including Deforestation Fires",kg m-2 s-1,Emon
cVeg,Carbon Mass in Vegetation,kg m-2,Eyr
cVeg,Carbon Mass in Vegetation,kg m-2,Lmon
cVegGrass,Carbon Mass in Vegetation on Grass Tiles,kg m-2,Emon
cVegLut,Carbon in Vegetation on Land-Use Tiles,kg m-2,Eyr
cVegShrub,Carbon Mass in Vegetation on Shrub Tiles,kg m-2,Emon
cVegTree,Carbon Mass in Vegetation on Tree Tiles,kg m-2,Emon
cWood,Carbon Mass in Wood,kg m-2,Emon
calc,Calcite Concentration,mol m-3,Omon
calc,Calcite Concentration,mol m-3,Oyr
calcos,Surface Calcite Concentration,mol m-3,Omon
ccb,Air Pressure at Convective Cloud Base,Pa,Amon
ccb,Air Pressure at Convective Cloud Base,Pa,CFday
ccb,Air Pressure at Convective Cloud Base,Pa,CFsubhr
ccldncl,Cloud Droplet Number Concentration of Convective Cloud Tops,m-3,Eday
ccn,Cloud Condensation Nuclei Concentration at Liquid Cloud Top,m-3,AERmon
cct,Air Pressure at Convective Cloud Top,Pa,CFday
cct,Air Pressure at Convective Cloud Top,Pa,Amon
cct,Air Pressure at Convective Cloud Top,Pa,CFsubhr
cdnc,Cloud Liquid Droplet Number Concentration,m-3,AERmon
cfadDbze94,CloudSat Radar Reflectivity,1,E3hrPt
cfadDbze94,CloudSat Radar Reflectivity,1,Emon
cfadLidarsr532,CALIPSO Scattering Ratio,1,E3hrPt
cfadLidarsr532,CALIPSO Scattering Ratio,1,Emon
cfc11,Mole Concentration of CFC11 in Sea Water,mol m-3,Oyr
cfc11,Mole Concentration of CFC11 in Sea Water,mol m-3,Omon
cfc113global,Global Mean Mole Fraction of CFC113,1e-12,Amon
cfc11global,Global Mean Mole Fraction of CFC11,1e-12,Amon
cfc12,Mole Concentration of CFC12 in Sea Water,mol m-3,Omon
cfc12,Mole Concentration of CFC12 in Sea Water,mol m-3,Oyr
cfc12global,Global Mean Mole Fraction of CFC12,1e-12,Amon
ch3coch3,CH3COCH3  volume mixing ratio,mol mol-1,AERmon
ch4,Mole Fraction of CH4,mol mol-1,Amon
ch4,CH4 volume mixing ratio,mol mol-1,AERmon
ch4,Mole Fraction of CH4,mol mol-1,AERmonZ
ch4global,Global Mean Mole Fraction of CH4,1e-09,Amon
cheaqpso4,Aqueous-phase production rate of SO4,kg m-2 s-1,AERmon
chegpso4,Gas-phase production rate of SO4,kg m-2 s-1,AERmon
chepasoa,total net production of anthropogenic secondary organic aerosol,kg m-2 s-1,AERmon
chepsoa,Chemical Production of Dry Aerosol Secondary Organic Matter,kg m-2 s-1,AERmon
chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,Oyr
chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,Omon
chlcalc,Mass Concentration of Calcareous Phytoplankton expressed as Chlorophyll in sea water,kg m-3,Omon
chlcalcos,Surface Mass Concentration of Calcareous Phytoplankton expressed as Chlorophyll in sea water,kg m-3,Omon
chldiat,Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,kg m-3,Oyr
chldiat,Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,kg m-3,Omon
chldiatos,Surface Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,kg m-3,Omon
chldiaz,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,kg m-3,Omon
chldiaz,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,kg m-3,Oyr
chldiazos,Surface Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,kg m-3,Omon
chlmisc,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,Oyr
chlmisc,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,Omon
chlmiscos,Surface Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,Omon
chlos,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,Omon
chlos,Surface Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,Oday
chlpico,Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,Oyr
chlpico,Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,Omon
chlpicoos,Surface Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,Omon
