variable_id,long_name,units,table_id
expn,Sinking Particulate Organic Nitrogen Flux,mol m-2 s-1,Emon
expn,Sinking Particulate Organic Nitrogen Flux,mol m-2 s-1,Oyr
expp,Sinking Particulate Organic Phosphorus Flux,mol m-2 s-1,Emon
expp,Sinking Particulate Organic Phosphorus Flux,mol m-2 s-1,Oyr
expsi,Sinking Particulate Silicon Flux,mol m-2 s-1,Emon
expsi,Sinking Particulate Silicon Flux,mol m-2 s-1,Oyr
fAnthDisturb,"Carbon Mass Flux from Vegetation, Litter or Soil Pools into the Atmosphere Due to any Human Activity [kgC m-2 s-1]",kg m-2 s-1,Emon
fBNF,biological nitrogen fixation,kg m-2 s-1,Emon
fCLandToOcean,Lateral Transfer of Carbon out of Grid Cell That Eventually Goes into Ocean,kg m-2 s-1,Emon
fDeforestToAtmos,Deforested Biomass That Goes into Atmosphere as a Result of Anthropogenic Land-Use Change [kgC m-2 s-1],kg m-2 s-1,Emon
fDeforestToProduct,Deforested Biomass That Goes into Product Pool as a Result of Anthropogenic Land-Use Change,kg m-2 s-1,Emon
fFire,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Excluding Land-Use Change [kgC m-2 s-1],kg m-2 s-1,Lmon
fFireAll,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Including All Sources,kg m-2 s-1,Emon
fFireNat,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Natural Fire,kg m-2 s-1,Emon
fGrazing,Carbon Mass Flux into Atmosphere Due to Grazing on Land,kg m-2 s-1,Lmon
fHarvest,Carbon Mass Flux into Atmosphere Due to Crop Harvesting [kgC m-2 s-1],kg m-2 s-1,Lmon
fHarvestToAtmos,Harvested biomass that goes straight into atmosphere,kg m-2 s-1,Emon
fHarvestToProduct,Harvested Biomass That Goes into Product Pool,kg m-2 s-1,Emon
fLitterFire,"Carbon Mass Flux from Litter, CWD or any non-Living Pool into Atmosphere Due to CO2 Emission from All Fire [kgC m-2 s-1]",kg m-2 s-1,Emon
fLitterSoil,Total Carbon Mass Flux from Litter to Soil,kg m-2 s-1,Lmon
fLuc,Net Carbon Mass Flux into Atmosphere Due to Land-Use Change [kgC m-2 s-1],kg m-2 s-1,Emon
fLulccAtmLut,Carbon Transferred Directly to Atmosphere Due to any Land-Use or Land-Cover Change Activities,kg m-2 s-1,Emon
fLulccProductLut,Carbon Harvested Due to Land-Use or Land-Cover Change Process That Enters Anthropogenic Product Pools on Tile,kg m-2 s-1,Emon
fLulccResidueLut,Carbon Transferred to Soil or Litter Pools Due to Land-Use or Land-Cover Change Processes on Tile,kg m-2 s-1,Emon
fN2O,Total land N2O flux,kg m-2 s-1,Emon
fNAnthDisturb,Nitrogen Mass Flux out of Land Due to any Human Activity,kg m-2 s-1,Emon
fNLandToOcean,Lateral Transfer of Nitrogen out of Grid Cell That Eventually Goes into Ocean,kg m-2 s-1,Emon
fNLitterSoil,Total Nitrogen Mass Flux from Litter to Soil,kg m-2 s-1,Emon
fNOx,Total Land NOx Flux,kg m-2 s-1,Emon
fNProduct,Deforested or Harvested Biomass as a Result of Anthropogenic Land-Use or Change,kg m-2 s-1,Emon
fNVegLitter,Total Nitrogen Mass Flux from Vegetation to Litter,kg m-2 s-1,Emon
fNVegSoil,Total Nitrogen Mass Flux from Vegetation Directly to Soil,kg m-2 s-1,Emon
fNdep,Dry and Wet Deposition of Reactive Nitrogen onto Land,kg m-2 s-1,Emon
fNfert,Total Nitrogen Added for Cropland Fertilisation (Artificial and Manure),kg m-2 s-1,Emon
fNgas,"Total Nitrogen Lost to the Atmosphere (Sum of NHx, NOx, N2O, N2)",kg m-2 s-1,Emon
fNgasFire,"Total Nitrogen Lost to the Atmosphere (Including NHx, NOx, N2O, N2) from Fire",kg m-2 s-1,Emon
fNgasNonFire,"Total Nitrogen Lost to the Atmosphere (Including NHx, NOx, N2O, N2) from All Processes Except Fire",kg m-2 s-1,Emon
fNleach,"Total Nitrogen Loss to Leaching or Runoff (Sum of Ammonium, Nitrite and Nitrate)",kg m-2 s-1,Emon
fNloss,"Total Nitrogen Lost (Including NHx, NOx, N2O, N2 and Leaching)",kg m-2 s-1,Emon
fNnetmin,Net Nitrogen Release from Soil and Litter as the Outcome of Nitrogen Immobilisation and Gross Mineralisation,kg m-2 s-1,Emon
fNup,Total Plant Nitrogen Uptake (Sum of Ammonium and Nitrate) Irrespective of the Source of Nitrogen,kg m-2 s-1,Emon
fProductDecomp,Decomposition out of Product Pools to CO2 in Atmosphere as Carbon Mass Flux [kgC m-2 s-1],kg m-2 s-1,Emon
fProductDecompLut,Flux from Wood and Agricultural Product Pools on Land Use Tile into Atmosphere,kg m-2 s-1,Emon
fVegFire,Carbon Mass Flux from Vegetation into Atmosphere Due to CO2 Emission from All Fire,kg m-2 s-1,Emon
fVegLitter,Total Carbon Mass Flux from Vegetation to Litter,kg m-2 s-1,Lmon
fVegLitterMortality,Total Carbon Mass Flux from Vegetation to Litter as a Result of Mortality,kg m-2 s-1,Emon
fVegLitterSenescence,"Total Carbon Mass Flux from Vegetation to Litter as a Result of Leaf, Branch, and Root Senescence",kg m-2 s-1,Emon
fVegSoil,Total Carbon Mass Flux from Vegetation Directly to Soil,kg m-2 s-1,Lmon
fahLut,Anthropogenic Heat Flux Generated from non-Renewable Human Primary Energy Consumption,W m-2,Emon
fbddtalk,Rate of Change of Biological Alkalinity due to Biological Activity,mol m-2 s-1,Emon
fbddtalk,Rate of Change of Biological Alkalinity Due to Biological Activity,mol m-2 s-1,Omon
fbddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,mol m-2 s-1,Omon
fbddtdic,Rate of Change of Dissolved Inorganic Carbon due to Biological Activity,mol m-2 s-1,Emon
fbddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,mol m-2 s-1,Omon
fbddtdife,Rate of Change of Dissolved Inorganic Iron due to Biological Activity,mol m-2 s-1,Emon
fbddtdin,Rate of Change of Dissolved Inorganic Nitrogen Due to Biological Activity,mol m-2 s-1,Omon
fbddtdin,Rate of Change of Dissolved Inorganic Nitrogen due to Biological Activity,mol m-2 s-1,Emon
fbddtdip,Rate of Change of Dissolved Inorganic Phosphorus Due to Biological Activity,mol m-2 s-1,Omon
fbddtdip,Rate of Change of Dissolved Inorganic Phosphorus due to Biological Activity,mol m-2 s-1,Emon
fbddtdisi,Rate of Change of Dissolved Inorganic Silicon due to Biological Activity,mol m-2 s-1,Emon
fbddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,mol m-2 s-1,Omon
fco2antt,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2,kg m-2 s-1,CFsubhr
fco2antt,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kgC m-2 s-1],kg m-2 s-1,Amon
fco2fos,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2,kg m-2 s-1,CFsubhr
fco2fos,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2,kg m-2 s-1,Amon
fco2nat,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources,kg m-2 s-1,Amon
fco2nat,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources,kg m-2 s-1,CFsubhr
fco2nat,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kgC m-2 s-1],kg m-2 s-1,Lmon
fddtalk,Rate of Change of Total Alkalinity,mol m-2 s-1,Omon
fddtdic,Rate of Change of Net Dissolved Inorganic Carbon,mol m-2 s-1,Omon
fddtdife,Rate of Change of Net Dissolved Inorganic Iron,mol m-2 s-1,Omon
fddtdin,Rate of Change of Net Dissolved Inorganic Nitrogen,mol m-2 s-1,Omon
fddtdip,Rate of Change of Net Dissolved Inorganic Phosphorus,mol m-2 s-1,Omon
fddtdisi,Rate of Change of Net Dissolved Inorganic Silicon,mol m-2 s-1,Omon
fediss,Particulate Source of Dissolved Iron,mol m-3 s-1,Oyr
fescav,Non-Biogenic Iron Scavenging,mol m-3 s-1,Oyr
fg14co2abio,Surface Downward Flux of Abiotic 14CO2,kg m-2 s-1,Oyr
fg14co2abio,Surface Downward Flux of Abiotic 14CO2,kg m-2 s-1,Omon
fgcfc11,Surface Downward CFC11 Flux,mol m-2 s-1,Omon
fgcfc12,Surface Downward CFC12 Flux,mol m-2 s-1,Omon
fgco2,Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1],kg m-2 s-1,Omon
fgco2,Surface Downward Flux of Total CO2,kg m-2 s-1,Oyr
fgco2abio,Surface Downward Mass Flux of Carbon as Abiotic CO2 [kgC m-2 s-1],kg m-2 s-1,Omon
fgco2abio,Surface Downward Flux of Abiotic CO2,kg m-2 s-1,Oyr
fgco2nat,Surface Downward Mass Flux of Carbon as Natural CO2 [kgC m-2 s-1],kg m-2 s-1,Omon
fgco2nat,Surface Downward Flux of Natural CO2,kg m-2 s-1,Oyr
fgdms,Surface Upward Flux of DMS,mol m-2 s-1,Omon
fgo2,Surface Downward Flux of O2,mol m-2 s-1,Omon
fgsf6,Surface Downward SF6 Flux,mol m-2 s-1,Omon
ficeberg,Water Flux into Sea Water From Icebergs,kg m-2 s-1,Omon
ficeberg2d,Water Flux into Sea Water From Icebergs,kg m-2 s-1,Omon
flandice,Water flux into Sea Water from Land Ice,kg m-2 s-1,Emon
flashrate,Lightning Flash Rate,km-2 s-1,Emon
fldcapacity,Field Capacity,%,Efx
fracInLut,Annual Gross Percentage That Was Transferred into This Tile from Other Land-Use Tiles,%,Eyr
fracLut,Percentage of Grid Cell for Each Land-Use Tile,%,Eyr
fracLut,Percentage of Grid Cell for Each Land-Use Tile,%,Emon
fracOutLut,Annual gross percentage of Land-use tile  that was transferred into other Land-use tiles,%,Eyr
frfe,Iron Loss to Sediments,mol m-2 s-1,Omon
fric,Downward Inorganic Carbon Flux at Ocean Bottom,mol m-2 s-1,Omon
friver,Water Flux into Sea Water From Rivers,kg m-2 s-1,Omon
frn,Nitrogen Loss to Sediments and Through Denitrification,mol m-2 s-1,Omon
froc,Downward Organic Carbon Flux at Ocean Bottom,mol m-2 s-1,Omon
fsfe,Surface Downward Net Flux of Iron,mol m-2 s-1,Omon
fsitherm,Water Flux into Sea Water Due to Sea Ice Thermodynamics,kg m-2 s-1,Omon
fsn,Surface Downward Net Flux of Nitrogen,mol m-2 s-1,Omon
gpp,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land,kg m-2 s-1,E3hr
gpp,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land,kg m-2 s-1,Lmon
gppGrass,Gross Primary Production on Grass Tiles,kg m-2 s-1,Emon
gppLut,gross primary productivity on land use tile,kg m-2 s-1,Emon
gppShrub,Gross Primary Production on Shrub Tiles,kg m-2 s-1,Emon
gppTree,Gross Primary Production on Tree Tiles,kg m-2 s-1,Emon
gppc13,Carbon-13 Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],kg m-2 s-1,Emon
gppc14,Carbon-14 Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],kg m-2 s-1,Emon
grassFrac,Natural Grass Area Percentage,%,Lmon
grassFrac,Natural Grass Area Percentage,%,Eyr
grassFracC3,C3 Grass Area Percentage,%,Emon
grassFracC4,C4 Grass Area Percentage,%,Emon
graz,Total Grazing of Phytoplankton by Zooplankton,mol m-3 s-1,Omon
graz,Total Grazing of Phytoplankton by Zooplankton,mol m-3 s-1,Oyr
gwt,Groundwater Intake,mm s-1,Lmon
h2o,Mass Fraction of Water,1,CF3hr
h2o,Mass Fraction of Water,1,AERmon
h2o,Mass Fraction of Water,1,AERmonZ
hcfc22global,Global Mean Mole Fraction of HCFC22,1e-12,Amon
hcho,Formaldehyde volume mixing ratio,mol mol-1,AERmon
hcl,HCl Volume Mixing Ratio,mol mol-1,AERmon
hcl,HCl Volume Mixing Ratio,mol mol-1,AERmonZ
hcont300,Heat content of upper 300 meters,m K,Emon
hfbasin,Northward Ocean Heat Transport,W,Omon
hfbasin,Northward Ocean Heat Transport,W,Odec
hfbasinpadv,northward ocean heat transport due to parameterized eddy advection,W,Omon
hfbasinpmadv,Northward Ocean Heat Transport Due to Parameterized Mesoscale Advection,W,Omon
hfbasinpmdiff,Northward Ocean Heat Transport Due to Parameterized Mesoscale Diffusion,W,Omon
hfbasinpsmadv,Northward Ocean Heat Transport Due to Parameterized Submesoscale Advection,W,Omon
hfcorr,Heat Flux Correction,W m-2,Omon
hfds,Downward Heat Flux at Sea Water Surface,W m-2,Omon
hfds,,W m-2,Odec
hfdsl,Downward Heat Flux at Land Surface,W m-2,Eday
hfdsn,Downward Heat Flux into Snow Where Land over Land,W m-2,Eday
hfdsn,Downward Heat Flux into Snow Where Land over Land,W m-2,LImon
hfdsnb,Downward heat flux at snow base,W m-2,Eday
hfevapds,Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water,W m-2,Omon
hfgeou,Upward Geothermal Heat Flux at Sea Floor,W m-2,Ofx
hfgeou,Upward Geothermal Heat Flux at Sea Floor,W m-2,Omon
hfgeoubed,Geothermal Heat Flux Beneath Land Ice,W m-2,IfxGre
hfibthermds,Heat Flux into Sea Water due to Iceberg Thermodynamics,W m-2,Omon
hfls,Surface Upward Latent Heat Flux,W m-2,ImonAnt
hfls,Surface Upward Latent Heat Flux,W m-2,Eday
hfls,Surface Upward Latent Heat Flux,W m-2,ImonGre
hfls,Surface Upward Latent Heat Flux,W m-2,Esubhr
hfls,Surface Upward Latent Heat Flux,W m-2,CF3hr
hfls,Surface Upward Latent Heat Flux,W m-2,CFsubhr
hfls,Surface Upward Latent Heat Flux,W m-2,3hr
hfls,Surface Upward Latent Heat Flux,W m-2,day
hfls,Surface Upward Latent Heat Flux,W m-2,Amon
hflsIs,Ice Sheet Surface Upward Latent Heat Flux,W m-2,LImon
hflsLut,Latent Heat Flux on Land-Use Tile,W m-2,Emon
hflso,Surface Downward Latent Heat Flux,W m-2,Omon
hfmlt,Energy of fusion,W m-2,Eday
hfrainds,Temperature Flux Due to Rainfall Expressed as Heat Flux into Sea Water,W m-2,Omon
hfrunoffds,Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water,W m-2,Omon
hfsbl,Energy of sublimation,W m-2,Eday
hfsifrazil,Heat Flux into Sea Water Due to Frazil Ice Formation,W m-2,Omon
hfsnthermds,Heat Flux into Sea Water Due to Snow Thermodynamics,W m-2,Omon
hfss,Surface Upward Sensible Heat Flux,W m-2,Amon
hfss,Surface Upward Sensible Heat Flux,W m-2,3hr
hfss,Surface Upward Sensible Heat Flux,W m-2,ImonGre
hfss,Surface Upward Sensible Heat Flux,W m-2,ImonAnt
hfss,Surface Upward Sensible Heat Flux,W m-2,CF3hr
hfss,Surface Upward Sensible Heat Flux,W m-2,Eday
hfss,Surface Upward Sensible Heat Flux,W m-2,CFsubhr
hfss,Surface Upward Sensible Heat Flux,W m-2,Esubhr
hfss,Surface Upward Sensible Heat Flux,W m-2,day
hfssIs,Ice Sheet Surface Upward Sensible Heat Flux,W m-2,LImon
hfssLut,Sensible Heat Flux on Land-Use Tile,W m-2,Emon
hfsso,Surface Downward Sensible Heat Flux,W m-2,Omon
hfx,Ocean Heat X Transport,W,Omon
hfy,Ocean Heat Y Transport,W,Omon
hno3,HNO3 volume mixing ratio,mol mol-1,AERmon
hno3,HNO3 Volume Mixing Ratio,mol mol-1,AERmonZ
ho2,HO2 Volume Mixing Ratio,mol mol-1,AERmonZ
htovgyre,Northward Ocean Heat Transport Due to Gyre,W,Omon
htovovrt,Northward Ocean Heat Transport Due to Overturning,W,Omon
hur,Relative Humidity,%,CFmon
hur,Relative Humidity,%,CFsubhr
hur,Relative Humidity,%,day
hur,Relative Humidity,%,CFday
hur,Relative Humidity,%,Amon
hurs,Near-Surface Relative Humidity,%,CF3hr
hurs,Near-Surface Relative Humidity,%,CFsubhr
hurs,Near-Surface Relative Humidity,%,Amon
hurs,Near-Surface Relative Humidity,%,day
hurs,Near-Surface Relative Humidity,%,6hrPlev
hurs,Near-Surface Relative Humidity,%,6hrPlevPt
hursmax,Daily Maximum Near-Surface Relative Humidity,%,day
hursmin,Daily Minimum Near-Surface Relative Humidity,%,day
hursmin,Surface Daily Minimum Relative Humidity,%,Amon
hus,Specific Humidity,1,Emon
hus,Specific Humidity,1,6hrPlev
hus,Specific Humidity,1,CFmon
hus,Specific Humidity,1,6hrPlevPt
hus,Specific Humidity,1,Eday
hus,Specific Humidity,1,EdayZ
hus,Specific Humidity,1,CFday
hus,Specific Humidity,1,day
hus,Specific Humidity,1,Esubhr
hus,Specific Humidity,1,E3hrPt
hus,Specific Humidity,1,6hrLev
hus,Specific Humidity,1,Amon
hus,Specific Humidity,1,CFsubhr
hus7h,Specific Humidity,1,6hrPlevPt
hus7h,Specific Humidity,1.0,E3hrPt
hus850,Specific Humidity,1,Eday
huss,Near-Surface Specific Humidity,1,CFsubhr
huss,Near-Surface Specific Humidity,1,3hr
huss,Near-Surface Specific Humidity,1,Amon
huss,Near-Surface Specific Humidity,1,day
huss,Near-Surface Specific Humidity,1,6hrPlevPt
huss,Near-Surface Specific Humidity,1,Esubhr
hussLut,Near-Surface Specific Humidity on Land-Use Tile,1,Emon
iareafl,Area Covered by Floating Ice Shelves,m2,IyrGre
iareagr,Area Covered by Grounded Ice Sheet,m2,IyrGre
icem,Surface Ice Melt Flux,kg m-2 s-1,ImonGre
icem,Surface Ice Melt Flux,kg m-2 s-1,ImonAnt
icemIs,Ice Sheet Surface Ice Melt Flux,kg m-2 s-1,LImon
icfriver,Flux of Inorganic Carbon into Ocean Surface by Runoff,mol m-2 s-1,Omon
intdic,Dissolved Inorganic Carbon Content,kg m-2,Omon
intdoc,Dissolved Organic Carbon Content,kg m-2,Omon
intparag,Aragonite Production,mol m-2 s-1,Omon
intpbfe,Iron Production,mol m-2 s-1,Omon
intpbn,Nitrogen Production,mol m-2 s-1,Omon
intpbp,Phosphorus Production,mol m-2 s-1,Omon
intpbsi,Silica Production,mol m-2 s-1,Omon
intpcalcite,Calcite Production,mol m-2 s-1,Omon
intpn2,Nitrogen Fixation Rate in Ocean,mol m-2 s-1,Omon
intpoc,Particulate Organic Carbon Content,kg m-2,Omon
intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,Omon
intppcalc,Net Primary Mole Productivity of Carbon by Calcareous Phytoplankton,mol m-2 s-1,Omon
intppdiat,Net Primary Organic Carbon Production by Diatoms,mol m-2 s-1,Omon
intppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,mol m-2 s-1,Omon
intppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,mol m-2 s-1,Omon
intppnitrate,Primary Organic Carbon Production by Phytoplankton Based on Nitrate Uptake Alone,mol m-2 s-1,Omon
intpppico,Net Primary Mole Productivity of Carbon by Picophytoplankton,mol m-2 s-1,Omon
intuadse,Vertically integrated Eastward dry transport (cp.T +zg).u (Mass_weighted_vertical integral of the product of northward wind by dry static_energy per mass unit),1.e6 J m-1 s-1,Emon
intuaw,Vertically integrated Eastward moisture transport (Mass_weighted_vertical integral of the product of eastward wind by total water mass per unit mass),kg m-1 s-1,Emon
intvadse,Vertically integrated Northward dry transport (cp.T +zg).v (Mass_weighted_vertical integral of the product of northward wind by dry static_energy per mass unit),1.e6 J m-1 s-1,Emon
intvaw,Vertically integrated Northward moisture transport (Mass_weighted_vertical integral of the product of northward wind by total water mass per unit mass),kg m-1 s-1,Emon
irrLut,"Irrigation Flux Including any Irrigation for Crops, Trees, Pasture, or Urban Lawns",kg m-2 s-1,Emon
isop,Isoprene volume mixing ratio,mol mol-1,AERmon
jno2,photolysis rate of NO2,s-1,AERmon
jo2,Photolysis Rate of Diatomic Molecular Oxygen,s-1,EmonZ
jo3,Photolysis Rate of Ozone (O3),s-1,EmonZ
jpdftaureicemodis,"MODIS Joint Distribution of Optical Thickness and Particle Size, Ice",%,Eday
jpdftaureicemodis,"MODIS Joint Distribution of Optical Thickness and Particle Size, Ice",%,Emon
jpdftaureicemodis,"MODIS Optical Thickness-Particle Size joint  distribution, ice",%,E3hrPt
jpdftaureliqmodis,"MODIS Optical Thickness-Particle Size Joint Distribution, Liquid",%,Eday
jpdftaureliqmodis,"MODIS Optical Thickness-Particle Size Joint Distribution, Liquid",%,Emon
jpdftaureliqmodis,"MODIS Optical Thickness-Particle Size joint  distribution, liquid",%,E3hrPt
ksat,Saturated Hydraulic Conductivity,micron s-1,Efx
lai,Leaf Area Index,1,Eday
lai,Leaf Area Index,1,Lmon
laiLut,Leaf Area Index on Land Use Tile,1,Emon
landCoverFrac,Percentage of Area by Vegetation or Land-Cover Category,%,Lmon
libmassbffl,Basal Specific Mass Balance Flux of Floating Ice Shelf,kg m-2 s-1,IyrGre
libmassbfgr,Basal Specific Mass Balance Flux of Grounded Ice Sheet,kg m-2 s-1,IyrGre
licalvf,Land Ice Calving Flux,kg m-2 s-1,IyrGre
lim,Ice Sheet Mass,kg,IyrGre
limfecalc,Iron limitation of Calcareous Phytoplankton,1,Omon
limfediat,Iron Limitation of Diatoms,1,Omon
limfediaz,Iron Limitation of Diazotrophs,1,Omon
limfemisc,Iron Limitation of Other Phytoplankton,1,Omon
limfepico,Iron Limitation of Picophytoplankton,1,Omon
limirrcalc,Irradiance limitation of Calcareous Phytoplankton,1,Omon
limirrdiat,Irradiance Limitation of Diatoms,1,Omon
limirrdiaz,Irradiance Limitation of Diazotrophs,1,Omon
limirrmisc,Irradiance Limitation of Other Phytoplankton,1,Omon
limirrpico,Irradiance Limitation of Picophytoplankton,1,Omon
limncalc,Nitrogen limitation of Calcareous Phytoplankton,1,Omon
limndiat,Nitrogen Limitation of Diatoms,1,Omon
limndiaz,Nitrogen limitation of Diazotrophs,1,Omon
limnmisc,Nitrogen Limitation of Other Phytoplankton,1,Omon
limnpico,Nitrogen Limitation of Picophytoplankton,1,Omon
limnsw,Ice Sheet Mass That Does not Displace Sea Water,kg,IyrGre
litempbotfl,Basal Temperature of Floating Ice Shelf,K,IyrGre
litempbotgr,Basal Temperature of Grounded Ice Sheet,K,IyrGre
litemptop,Temperature at Top of Ice Sheet Model,K,ImonAnt
litemptop,Temperature at Top of Ice Sheet Model,K,IyrGre
litemptop,Temperature at Top of Ice Sheet Model,K,ImonGre
litemptopIs,Ice Sheet Temperature at Top of Ice Sheet Model,K,LImon
lithk,Ice Sheet Thickness,m,IyrGre
lithk,Ice Sheet Thickness,m,IfxGre
loadbc,Load of Black Carbon Aerosol,kg m-2,Eday
loaddust,Load of Dust,kg m-2,Emon
loaddust,Load of Dust,kg m-2,Eday
loadno3,Load of NO3,kg m-2,Eday
loadoa,Load of Dry Aerosol Organic Matter,kg m-2,Eday
loadpoa,Load of Dry Aerosol Primary Organic Matter,kg m-2,Eday
loadso4,Load of SO4,kg m-2,Eday
loadso4,Load of SO4,kg m-2,Emon
loadsoa,Load of Dry Aerosol Secondary Organic Matter,kg m-2,Eday
loadss,Load of Sea-Salt Aerosol,kg m-2,Eday
loadss,Load of Sea-Salt Aerosol,kg m-2,Emon
lossch4,Monthly Loss of Atmospheric Methane,mol m-3 s-1,AERmon
lossco,Monthly Loss of atmospheric Carbon Monoxide,mol m-3 s-1,AERmon
lossn2o,Monthly Loss of atmospheric Nitrous Oxide,mol m-3 s-1,AERmon
lwp,Liquid Water Path,kg m-2,AERmon
lwsffluxaero,Longwave flux  due to volcanic aerosols at the surface,W m-2,6hrPlevPt
lwsnl,Liquid Water Content of Snow Layer,kg m-2,LImon
lwsnl,Liquid Water Content of Snow Layer,kg m-2,Eday
lwsrfasdust,All-Sky Surface Longwave Radiative Flux Due to Dust,W m-2,Emon
lwsrfcsdust,Clear-Sky Surface Longwave Radiative Flux Due to Dust,W m-2,Emon
lwtoaasdust,TOA All-Sky Longwave Radiative Forcing Due to Dust,W m-2,Emon
lwtoacsaer,clear sky lw-rf aerosols at toa,W m-2,Emon
lwtoacsdust,TOA Clear-Sky Longwave Radiative Forcing Due to Dust,W m-2,Emon
lwtoafluxaerocs,Longwave flux due to volcanic aerosols at TOA under clear sky,W m-2,6hrPlevPt
masscello,Ocean Grid-Cell Mass per Area,kg m-2,Omon
masscello,Ocean Grid-Cell Mass per Area,kg m-2,Ofx
masso,Sea Water Mass,kg,Omon
masso,Sea Water Mass,kg,Odec
maxpblz,maximum PBL height,m,AERday
mc,Convective Mass Flux,kg m-2 s-1,Amon
mc,Convective Mass Flux,kg m-2 s-1,CFsubhr
mc,Convective Mass Flux,kg m-2 s-1,Esubhr
mc,Convective Mass Flux,kg m-2 s-1,CFday
mcd,Downdraft Convective Mass Flux,kg m-2 s-1,CFmon
mcu,Convective Updraft Mass Flux,kg m-2 s-1,CFmon
meanage,Mean Age of Stratospheric Air,yr,AERmonZ
mfo,Sea Water Transport,kg s-1,Omon
mfodrake,Sea Water Transport across Drake Passage,Sv,Omon
mfoindo,Sea Water Transport across ITF,Sv,Omon
minpblz,minimum PBL height,m,AERday
mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,m,Omon
mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,m,Eday
mlotstmax,Maximum Ocean Mixed Layer Thickness Defined by Sigma T,m,Omon
mlotstmin,Minimum Ocean Mixed Layer Thickness Defined by Sigma T,m,Omon
mlotstsq,Square of Ocean Mixed Layer Thickness Defined by Sigma T,m2,Omon
mmraerh2o,Aerosol water mass mixing ratio,kg kg-1,AERmon
mmraerso4,Aerosol Sulfate Mass Mixing Ratio,kg kg-1,Emon
mmrbc,Elemental carbon mass mixing ratio,kg kg-1,Emon
mmrbc,Elemental Carbon Mass Mixing Ratio,kg kg-1,AERmon
mmrdust,Dust Aerosol Mass Mixing Ratio,kg kg-1,AERmon
mmrnh4,NH4 Mass Mixing Ratio,kg kg-1,AERmon
mmrno3,NO3 aerosol mass mixing ratio,kg kg-1,AERmon
mmrno3,NO3 aerosol mass mixing ratio,kg kg-1,Emon
mmroa,Total organic aerosol mass mixing ratio,kg kg-1,AERmon
mmrpm1,PM1.0 mass mixing ratio,kg kg-1,AERmon
mmrpm10,PM10 Mass Mixing Ratio,kg kg-1,AERmon
mmrpm2p5,PM2.5 mass mixing ratio,kg kg-1,AERmon
mmrso4,Aerosol Sulfate Mass Mixing Ratio,kg kg-1,AERmon
mmrsoa,Secondary Organic Aerosol Mass Mixing Ratio,kg kg-1,AERmon
mmrss,Sea Salt mass mixing ratio,kg kg-1,Emon
mmrss,Sea-Salt Aerosol Mass Mixing Ratio,kg kg-1,AERmon
modelCellAreai,The Cell Area of the Ice Sheet Model,m2,IyrGre
mrfso,Total Soil Moisture Content,kg m-2,day
mrfso,Soil Frozen Water Content,kg m-2,Lmon
mrfsofr,Average Layer Fraction of Frozen Moisture,1,Eday
mrlqso,Average Layer Fraction of Liquid Moisture,1,Eday
mrlsl,Soil Water Moisture,kg m-2,day
mrlso,Soil Liquid Water Content,kg m-2,Emon
mrro,Total Runoff,kg m-2 s-1,day
mrro,Total Runoff,kg m-2 s-1,Lmon
mrro,Total Runoff,kg m-2 s-1,3hr
mrroIs,Ice Sheet Total Runoff,kg m-2 s-1,LImon
mrroLi,Land Ice Runoff Flux,kg m-2 s-1,ImonGre
mrroLi,Land Ice Runoff Flux,kg m-2 s-1,ImonAnt
mrroLut,Total Runoff from Land-Use Tile,kg m-2 s-1,Emon
mrrob,Subsurface Runoff,kg m-2 s-1,Eday
mrros,Surface Runoff,kg m-2 s-1,Lmon
mrros,Surface Runoff,kg m-2 s-1,Eday
mrsfl,Frozen Water Content of Soil Layer,kg m-2,Eday
mrsfl,Frozen Water Content of Soil Layer,kg m-2,Emon
mrsll,Liquid Water Content of Soil Layer,kg m-2,Emon
